season,lg,type,number_tm,player,position,seas_id,player_id,birth_year,tm,age
1976,ABA,All-ABA,1st,James Silas,G,6666,1453,1949.0,SAA,26
1976,ABA,All-ABA,1st,Julius Erving,F,6727,1381,1950.0,NYA,25
1976,ABA,All-ABA,1st,Ralph Simpson,G,6824,1317,1949.0,DNA,26
1976,ABA,All-ABA,2nd,Bobby Jones,F,6524,1559,1951.0,DNA,24
1976,ABA,All-ABA,2nd,Dan Issel,C,6568,1259,1948.0,DNA,27
1976,ABA,All-ABA,2nd,David Thompson,F,6580,1637,1954.0,DNA,21
1976,ABA,All-ABA,2nd,Don Buse,G,6593,1439,1950.0,INA,25
1976,ABA,All-ABA,2nd,George Gervin,G,6637,1447,1952.0,SAA,23
1976,ABA,All-Defense,1st,Artis Gilmore,,6494,1338,1949.0,KEN,26
1976,ABA,All-Defense,1st,Bobby Jones,,6524,1559,1951.0,DNA,24
1976,ABA,All-Defense,1st,Brian Taylor,,6526,1427,1951.0,NYA,24
1976,NBA,All-Defense,1st,Dave Cowens,,6573,1260,,BOS,27
1976,ABA,All-Defense,1st,Don Buse,,6593,1439,1950.0,INA,25
1976,NBA,All-Defense,1st,John Havlicek,,6708,778,,BOS,35
1976,ABA,All-Defense,1st,Julius Erving,,6727,1381,1950.0,NYA,25
1976,NBA,All-Defense,1st,Norm Van Lier,,6809,1219,,CHI,28
1976,NBA,All-Defense,1st,Paul Silas,,6817,834,,BOS,32
1976,NBA,All-Defense,1st,Slick Watts,,6855,1539,,SEA,24
1976,NBA,All-Defense,2nd,Jamaal Wilkes,,6665,1587,,GSW,22
1976,NBA,All-Defense,2nd,Jim Brewer,,6677,1508,,CLE,24
1976,NBA,All-Defense,2nd,Jim Cleamons,,6679,1374,,CLE,26
1976,NBA,All-Defense,2nd,Kareem Abdul-Jabbar,,6729,1204,,LAL,28
1976,NBA,All-Defense,2nd,Phil Smith,,6823,1609,,GSW,23
1976,NBA,All-NBA,1st,George McGinnis,F,6641,1362,1950.0,PHI,25
1976,NBA,All-NBA,1st,Kareem Abdul-Jabbar,C,6729,1204,,LAL,28
1976,NBA,All-NBA,1st,Pete Maravich,G,6819,1315,,NOJ,28
1976,NBA,All-NBA,1st,Rick Barry,F,6831,856,1944.0,GSW,31
1976,NBA,All-NBA,1st,Tiny Archibald,G,6885,1329,,KCK,27
1976,NBA,All-NBA,2nd,Dave Cowens,C,6573,1260,,BOS,27
1976,NBA,All-NBA,2nd,Elvin Hayes,F,6610,1101,,WSB,30
1976,NBA,All-NBA,2nd,John Havlicek,F,6708,778,,BOS,35
1976,NBA,All-NBA,2nd,Phil Smith,G,6823,1609,,GSW,23
1976,NBA,All-NBA,2nd,Randy Smith,G,6828,1397,,BUF,27
1976,NBA,All-Rookie,1st,Alvan Adams,,6492,1624,,PHO,21
1976,ABA,All-Rookie,1st,David Thompson,,6580,1637,1954.0,DNA,21
1976,NBA,All-Rookie,1st,Gus Williams,,6653,1647,,GSW,22
1976,NBA,All-Rookie,1st,Joe Meriweather,,6703,1658,,HOU,22
1976,NBA,All-Rookie,1st,John Shumate,,6718,1661,,TOT,23
1976,ABA,All-Rookie,1st,Kim Hughes,,6744,1667,1952.0,NYA,23
1976,NBA,All-Rookie,1st,Lionel Hollins,,6758,1670,,POR,22
1976,ABA,All-Rookie,1st,M.L. Carr,,6765,1671,1951.0,SSL,25
1976,ABA,All-Rookie,1st,Mark Olberding,,6767,1672,1956.0,TOT,19
1976,ABA,All-Rookie,1st,Ticky Burden,,6883,1686,1953.0,VIR,22
1975,ABA,All-ABA,1st,Artis Gilmore,C,6072,1338,1949.0,KEN,25
1975,ABA,All-ABA,1st,George McGinnis,F,6220,1362,1950.0,INA,24
1975,ABA,All-ABA,1st,Julius Erving,F,6301,1381,1950.0,NYA,24
1975,ABA,All-ABA,1st,Mack Calvin,G,6343,1214,1947.0,DNA,27
1975,ABA,All-ABA,1st,Ron Boone,G,6414,1141,1946.0,UTS,28
1975,ABA,All-ABA,2nd,Brian Taylor,G,6112,1427,1951.0,NYA,23
1975,ABA,All-ABA,2nd,George Gervin,F,6216,1447,1952.0,SAA,22
1975,ABA,All-ABA,2nd,James Silas,G,6248,1453,1949.0,SAA,25
1975,ABA,All-ABA,2nd,Marvin Barnes,F,6345,1601,1952.0,SSL,22
1975,ABA,All-ABA,2nd,Swen Nater,C,6445,1541,1950.0,SAA,25
1975,ABA,All-Defense,1st,Artis Gilmore,,6072,1338,1949.0,KEN,25
1975,ABA,All-Defense,1st,Bobby Jones,,6110,1559,1951.0,DNA,23
1975,ABA,All-Defense,1st,Brian Taylor,,6112,1427,1951.0,NYA,23
1975,ABA,All-Defense,1st,Don Buse,,6175,1439,1950.0,INA,24
1975,NBA,All-Defense,1st,Jerry Sloan,,6251,849,,CHI,32
1975,NBA,All-Defense,1st,John Havlicek,,6287,778,,BOS,34
1975,NBA,All-Defense,1st,Kareem Abdul-Jabbar,,6303,1204,,MIL,27
1975,NBA,All-Defense,1st,Paul Silas,,6384,834,,BOS,31
1975,NBA,All-Defense,1st,Walt Frazier,,6469,1061,,NYK,29
1975,ABA,All-Defense,1st,Wil Jones,,6478,1232,1947.0,KEN,27
1975,NBA,All-Defense,2nd,Bob Love,,6103,866,,CHI,32
1975,NBA,All-Defense,2nd,Dave Cowens,,6156,1260,,BOS,26
1975,NBA,All-Defense,2nd,Don Chaney,,6176,1092,1946.0,BOS,28
1975,NBA,All-Defense,2nd,Elvin Hayes,,6192,1101,,WSB,29
1975,NBA,All-Defense,2nd,Norm Van Lier,,6373,1219,,CHI,27
1975,NBA,All-NBA,1st,Bob McAdoo,C,6104,1424,,BUF,23
1975,NBA,All-NBA,1st,Elvin Hayes,F,6192,1101,,WSB,29
1975,NBA,All-NBA,1st,Rick Barry,F,6405,856,1944.0,GSW,30
1975,NBA,All-NBA,1st,Tiny Archibald,G,6451,1329,,KCO,26
1975,NBA,All-NBA,1st,Walt Frazier,G,6469,1061,,NYK,29
1975,NBA,All-NBA,2nd,Dave Cowens,C,6156,1260,,BOS,26
1975,NBA,All-NBA,2nd,Jo Jo White,G,6277,1197,,BOS,28
1975,NBA,All-NBA,2nd,John Havlicek,F,6287,778,,BOS,34
1975,NBA,All-NBA,2nd,Phil Chenier,G,6388,1394,,WSB,24
1975,NBA,All-NBA,2nd,Spencer Haywood,F,6428,1226,1949.0,SEA,25
1975,ABA,All-Rookie,1st,Billy Knight,,6093,1558,1952.0,INA,22
1975,ABA,All-Rookie,1st,Bobby Jones,,6110,1559,1951.0,DNA,23
1975,NBA,All-Rookie,1st,Brian Winters,,6113,1561,,LAL,22
1975,ABA,All-Rookie,1st,Gus Gerard,,6233,1584,1953.0,SSL,21
1975,NBA,All-Rookie,1st,Jamaal Wilkes,,6247,1587,,GSW,21
1975,NBA,All-Rookie,1st,John Drew,,6285,1591,,ATL,20
1975,ABA,All-Rookie,1st,Marvin Barnes,,6345,1601,1952.0,SSL,22
1975,ABA,All-Rookie,1st,Moses Malone,,6363,1605,1955.0,UTS,19
1975,NBA,All-Rookie,1st,Scott Wedman,,6425,1613,,KCO,22
1975,NBA,All-Rookie,1st,Tom Burleson,,6454,1617,,SEA,22
1974,ABA,All-ABA,1st,Artis Gilmore,C,5653,1338,1949.0,KEN,24
1974,ABA,All-ABA,1st,George McGinnis,F,5795,1362,1950.0,INA,23
1974,ABA,All-ABA,1st,Jimmy Jones,G,5838,983,1945.0,UTS,29
1974,ABA,All-ABA,1st,Julius Erving,F,5879,1381,1950.0,NYA,23
1974,ABA,All-ABA,1st,Mack Calvin,G,5916,1214,1947.0,CAR,26
1974,ABA,All-ABA,2nd,Dan Issel,F,5729,1259,1948.0,KEN,25
1974,ABA,All-ABA,2nd,Louie Dampier,G,5911,1008,1944.0,KEN,29
1974,ABA,All-ABA,2nd,Ron Boone,G,5994,1141,1946.0,UTS,27
