season,lg,team,abbreviation,playoffs,g,mp_per_game,opp_fg_per_game,opp_fga_per_game,opp_fg_percent,opp_x3p_per_game,opp_x3pa_per_game,opp_x3p_percent,opp_x2p_per_game,opp_x2pa_per_game,opp_x2p_percent,opp_ft_per_game,opp_fta_per_game,opp_ft_percent,opp_orb_per_game,opp_drb_per_game,opp_trb_per_game,opp_ast_per_game,opp_stl_per_game,opp_blk_per_game,opp_tov_per_game,opp_pf_per_game,opp_pts_per_game
2024,NBA,New Orleans Pelicans,NOP,False,3.0,240.0,40.7,93.0,0.437,11.3,40.3,0.281,29.3,52.7,0.557,14.3,19.3,0.741,15.0,38.3,53.3,23.3,7.0,5.7,15.7,19.0,107.0
2024,NBA,New York Knicks,NYK,False,4.0,240.0,38.8,85.8,0.452,10.8,35.5,0.303,28.0,50.3,0.557,15.5,21.0,0.738,8.5,36.3,44.8,21.3,6.8,7.0,13.8,20.8,103.8
2024,NBA,Oklahoma City Thunder,OKC,False,4.0,240.0,42.3,91.3,0.463,12.5,35.5,0.352,29.8,55.8,0.534,15.3,19.5,0.782,11.0,33.8,44.8,27.8,8.5,5.3,14.3,19.5,112.3
2024,NBA,Orlando Magic,ORL,False,4.0,240.0,38.3,83.8,0.457,10.8,31.0,0.347,27.5,52.8,0.521,14.5,19.5,0.744,8.5,32.0,40.5,22.8,7.3,4.5,16.8,22.8,101.8
2024,NBA,Philadelphia 76ers,PHI,False,3.0,240.0,38.3,87.3,0.439,11.7,31.0,0.376,26.7,56.3,0.473,19.3,25.7,0.753,11.7,30.3,42.0,22.3,8.0,6.0,14.3,22.7,107.7
2024,NBA,Phoenix Suns,PHO,False,4.0,240.0,38.8,92.0,0.421,10.3,36.5,0.281,28.5,55.5,0.514,18.0,22.8,0.791,12.3,31.0,43.3,23.5,10.3,6.8,14.5,20.8,105.8
2024,NBA,Portland Trail Blazers,POR,False,4.0,240.0,40.3,86.3,0.467,10.0,29.8,0.336,30.3,56.5,0.535,20.0,25.8,0.777,12.3,34.8,47.0,26.3,10.3,8.3,15.0,18.3,110.5
2024,NBA,Sacramento Kings,SAC,False,3.0,248.3,44.0,92.0,0.478,12.7,35.0,0.362,31.3,57.0,0.55,20.3,26.3,0.772,10.3,38.3,48.7,27.0,8.0,3.0,15.0,22.0,121.0
2024,NBA,San Antonio Spurs,SAS,False,4.0,246.3,47.0,93.3,0.504,14.3,40.0,0.356,32.8,53.3,0.615,13.0,19.8,0.658,9.8,35.8,45.5,26.5,9.0,4.3,16.3,20.0,121.3
2024,NBA,Toronto Raptors,TOR,False,4.0,246.3,38.0,92.5,0.411,9.3,33.3,0.278,28.8,59.3,0.485,17.5,21.5,0.814,13.3,38.5,51.8,20.8,8.0,7.0,14.5,18.3,102.8
2024,NBA,Utah Jazz,UTA,False,4.0,240.0,45.0,87.0,0.517,13.0,37.8,0.344,32.0,49.3,0.65,18.0,23.3,0.774,8.8,32.0,40.8,27.3,7.0,7.3,13.0,20.0,121.0
2024,NBA,Washington Wizards,WAS,False,3.0,240.0,48.7,100.0,0.487,19.3,47.7,0.406,29.3,52.3,0.561,8.3,9.3,0.893,10.3,38.7,49.0,32.0,9.3,7.3,16.0,21.7,125.0
2024,NBA,League Average,,False,4.0,241.4,41.3,89.8,0.46,12.4,35.3,0.351,28.9,54.5,0.531,16.5,21.7,0.76,10.8,34.5,45.3,25.1,8.0,5.4,14.9,20.0,111.5
2023,NBA,Atlanta Hawks,ATL,False,82.0,242.1,43.8,90.2,0.486,11.9,33.5,0.356,31.9,56.7,0.562,18.6,23.2,0.803,10.6,33.5,44.1,26.0,7.5,5.0,14.2,19.7,118.1
2023,NBA,Boston Celtics,BOS,False,82.0,243.7,41.8,90.2,0.463,11.6,33.7,0.345,30.1,56.5,0.534,16.2,21.1,0.769,9.7,34.3,44.0,23.1,6.6,3.9,12.7,19.1,111.4
2023,NBA,Brooklyn Nets,BRK,False,82.0,240.6,41.0,88.5,0.463,11.8,32.2,0.367,29.2,56.3,0.518,18.7,24.4,0.767,11.5,33.6,45.1,23.4,7.0,3.9,13.7,18.5,112.5
2023,NBA,Chicago Bulls,CHI,False,82.0,242.7,40.7,87.1,0.468,13.2,37.1,0.357,27.5,50.0,0.55,17.1,22.0,0.779,9.6,33.7,43.3,26.0,6.7,4.7,15.0,18.7,111.8
2023,NBA,Charlotte Hornets,CHO,False,82.0,241.8,43.0,90.1,0.477,12.2,34.3,0.357,30.7,55.8,0.55,19.0,24.0,0.795,10.9,35.3,46.2,25.9,7.0,5.7,14.4,20.3,117.2
2023,NBA,Cleveland Cavaliers,CLE,False,82.0,242.4,39.0,83.5,0.468,11.3,30.6,0.368,27.8,52.9,0.525,17.5,22.4,0.782,9.8,31.5,41.2,23.0,7.0,4.4,15.7,20.4,106.9
