season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2023,NBA,Portland Trail Blazers,POR,False,82.0,19730.0,3522.0,7176.0,0.491,1029.0,2717.0,0.379,2493.0,4459.0,0.559,1555.0,1977.0,0.787,857.0,2686.0,3543.0,2214.0,640.0,352.0,1108.0,1679.0,9628.0
2023,NBA,Sacramento Kings,SAC,False,82.0,19830.0,3589.0,7288.0,0.492,1022.0,2740.0,0.373,2567.0,4548.0,0.564,1481.0,1882.0,0.787,795.0,2665.0,3460.0,2187.0,598.0,341.0,1165.0,1711.0,9681.0
2023,NBA,San Antonio Spurs,SAS,False,82.0,19855.0,3780.0,7460.0,0.507,1036.0,2651.0,0.391,2744.0,4809.0,0.571,1496.0,1942.0,0.77,877.0,2811.0,3688.0,2198.0,665.0,431.0,1135.0,1516.0,10092.0
2023,NBA,Toronto Raptors,TOR,False,82.0,19805.0,3312.0,6752.0,0.491,1001.0,2676.0,0.374,2311.0,4076.0,0.567,1508.0,1893.0,0.797,757.0,2709.0,3466.0,2148.0,492.0,376.0,1367.0,1604.0,9133.0
2023,NBA,Utah Jazz,UTA,False,82.0,19805.0,3555.0,7515.0,0.473,1023.0,2830.0,0.361,2532.0,4685.0,0.54,1544.0,1989.0,0.776,919.0,2644.0,3563.0,2047.0,639.0,405.0,1030.0,1679.0,9677.0
2023,NBA,Washington Wizards,WAS,False,82.0,19755.0,3481.0,7362.0,0.473,984.0,2688.0,0.366,2497.0,4674.0,0.534,1432.0,1794.0,0.798,883.0,2645.0,3528.0,2035.0,581.0,406.0,1008.0,1590.0,9378.0
2023,NBA,League Average,,False,82.0,19828.0,3442.0,7241.0,0.475,1012.0,2806.0,0.361,2430.0,4435.0,0.548,1508.0,1929.0,0.782,856.0,2706.0,3562.0,2076.0,598.0,382.0,1156.0,1638.0,9404.0
2022,NBA,Atlanta Hawks,ATL,True,82.0,19705.0,3435.0,7294.0,0.471,1051.0,2888.0,0.364,2384.0,4406.0,0.541,1294.0,1634.0,0.792,838.0,2758.0,3596.0,2085.0,576.0,367.0,1046.0,1668.0,9215.0
2022,NBA,Boston Celtics,BOS,True,82.0,19905.0,3137.0,7221.0,0.434,969.0,2860.0,0.339,2168.0,4361.0,0.497,1324.0,1692.0,0.783,858.0,2727.0,3585.0,1773.0,618.0,376.0,1133.0,1592.0,8567.0
2022,NBA,Brooklyn Nets,BRK,True,82.0,19755.0,3340.0,7395.0,0.452,1026.0,2974.0,0.345,2314.0,4421.0,0.523,1488.0,1888.0,0.788,926.0,2690.0,3616.0,1954.0,650.0,403.0,1088.0,1616.0,9194.0
