season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x3p_per_100_poss,opp_x3pa_per_100_poss,opp_x3p_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2021,NBA,Indiana Pacers,IND,False,72,17455,41.6,89.0,0.468,11.2,30.7,0.366,30.4,58.4,0.521,17.9,22.9,0.782,11.0,34.6,45.6,25.4,7.2,5.2,14.4,17.7,112.4
2021,NBA,Los Angeles Clippers,LAC,True,72,17280,41.4,89.2,0.464,11.9,33.5,0.356,29.4,55.6,0.529,16.6,21.3,0.777,9.4,33.1,42.5,23.6,7.3,4.4,13.3,18.7,111.2
2021,NBA,Los Angeles Lakers,LAL,True,72,17455,39.9,86.7,0.46,11.4,32.3,0.352,28.5,54.3,0.524,15.9,20.6,0.776,8.8,33.3,42.2,24.7,8.3,4.6,15.3,21.3,107.1
2021,NBA,Memphis Grizzlies,MEM,True,72,17405,40.6,87.7,0.462,12.7,34.7,0.367,27.8,53.0,0.525,17.2,21.8,0.788,9.7,34.5,44.2,25.1,7.6,5.2,14.7,18.1,111.0
2021,NBA,Miami Heat,MIA,True,72,17380,40.2,87.7,0.459,14.7,40.2,0.365,25.6,47.5,0.538,16.0,20.5,0.782,9.8,34.4,44.1,26.5,7.7,4.1,15.5,20.2,111.2
2021,NBA,Milwaukee Bucks,MIL,True,72,17330,41.4,90.6,0.456,14.5,37.6,0.384,26.9,53.0,0.507,14.3,18.3,0.78,9.4,33.0,42.4,24.4,6.9,4.7,12.8,17.9,111.4
2021,NBA,Minnesota Timberwolves,MIN,False,72,17405,42.0,87.2,0.482,12.8,32.7,0.392,29.2,54.5,0.536,18.1,23.0,0.786,9.7,35.0,44.7,26.2,7.5,5.4,15.0,19.4,115.0
2021,NBA,New Orleans Pelicans,NOP,False,72,17430,41.5,88.5,0.469,14.3,37.8,0.38,27.1,50.7,0.535,16.5,20.9,0.79,8.9,32.6,41.4,25.7,7.6,5.9,13.2,21.1,113.8
2021,NBA,New York Knicks,NYK,True,72,17430,39.2,89.1,0.44,12.4,36.8,0.337,26.8,52.3,0.512,17.5,22.9,0.761,10.0,35.6,45.5,24.3,6.8,5.6,13.2,18.5,108.2
2021,NBA,Oklahoma City Thunder,OKC,False,72,17355,42.8,90.4,0.473,13.4,36.8,0.364,29.4,53.6,0.548,15.1,19.5,0.773,10.0,36.5,46.5,25.4,8.9,5.2,12.9,18.3,114.0
2021,NBA,Orlando Magic,ORL,False,72,17330,42.7,90.6,0.471,13.9,37.2,0.373,28.8,53.4,0.539,15.3,19.5,0.786,9.9,38.0,47.9,26.3,7.7,5.4,12.9,18.9,114.5
