seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
31401,2024,4859,LaMelo Ball,,PG,22.0,4,NBA,CHO,3,3.0,86.0,4.6,18.4,0.25,2.5,10.0,0.25,2.1,8.4,0.25,6.3,7.5,0.833,1.7,5.9,7.5,11.3,2.1,0.4,4.2,4.2,18.0
31402,2024,4858,Lamar Stevens,,PF,26.0,4,NBA,BOS,1,0.0,6.0,12.0,12.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,0.0,0.0,,12.0,0.0,12.0,0.0,0.0,0.0,18.0,6.0,30.0
31403,2024,4345,Larry Nance Jr.,,C,31.0,9,NBA,NOP,3,0.0,48.0,2.3,3.7,0.6,0.7,0.7,1.0,1.5,3.0,0.5,0.0,0.0,,3.0,11.3,14.2,1.5,0.7,0.7,3.7,3.7,5.2
31404,2024,4535,Lauri Markkanen,,PF,26.0,7,NBA,UTA,4,4.0,132.0,9.5,20.5,0.467,4.6,10.6,0.436,4.9,9.8,0.5,3.5,3.8,0.929,3.3,7.4,10.6,2.5,0.8,0.8,1.9,1.6,27.3
31405,2024,3463,LeBron James,,PF,39.0,21,NBA,LAL,4,4.0,136.0,9.3,17.5,0.53,1.9,6.1,0.304,7.4,11.4,0.651,2.9,5.0,0.579,0.5,8.5,9.0,6.9,1.6,0.8,4.8,1.1,23.3
31406,2024,5147,Leonard Miller,,SF,20.0,1,NBA,MIN,1,0.0,2.0,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
31407,2024,5078,Lester Quinones,,SG,23.0,2,NBA,GSW,1,0.0,5.0,14.4,21.6,0.667,7.2,14.4,0.5,7.2,7.2,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,36.0
31408,2024,4981,Lindy Waters III,,SG,26.0,3,NBA,OKC,2,0.0,4.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31409,2024,4653,Lonnie Walker IV,,SG,25.0,6,NBA,BRK,2,0.0,50.0,7.9,15.8,0.5,5.0,9.4,0.538,2.9,6.5,0.444,2.9,4.3,0.667,0.0,4.3,4.3,4.3,0.7,1.4,1.4,2.9,23.8
31410,2024,4754,Luguentz Dort,,SF,24.0,5,NBA,OKC,4,4.0,118.0,5.5,10.7,0.514,2.1,5.5,0.389,3.4,5.2,0.647,2.1,2.7,0.778,1.2,3.7,4.9,1.2,1.8,1.2,0.9,2.7,15.3
