seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
31246,2024,4824,Desmond Bane,,SG,25,4,NBA,MEM,4,139,3.0,88.0,9.0,,,-4.8,14.3,4,5,4,2,6,0.0,42,1,4
31247,2024,4321,Devin Booker,,SG,27,9,NBA,PHO,1,37,,9.0,82.0,9.0,,7.8,3.2,3,1,3,0,2,2.0,21,1,1
31248,2024,4826,Devin Vassell,,SG,23,4,NBA,SAS,4,139,54.0,38.0,9.0,,,-8.1,2.1,3,2,2,1,7,1.0,24,3,1
31249,2024,4494,Dillon Brooks,,SG,28,7,NBA,HOU,3,99,,33.0,67.0,,,-2.9,36.2,3,1,5,0,2,1.0,13,0,1
31250,2024,4400,Domantas Sabonis,,C,27,8,NBA,SAC,3,102,,,,,100.0,-1.1,-14.6,2,2,3,2,7,0.0,44,4,2
31251,2024,5043,Dominick Barlow,,PF,20,2,NBA,SAS,1,5,,,,100.0,,-94.4,-87.7,0,0,0,0,0,0.0,0,0,0
31252,2024,4495,Donovan Mitchell,,SG,27,7,NBA,CLE,3,107,78.0,22.0,,,,-0.6,17.5,4,3,2,0,8,0.0,36,3,2
31253,2024,4608,Donte DiVincenzo,,SG,27,6,NBA,NYK,4,70,,81.0,19.0,,,2.1,-0.2,2,2,5,0,1,2.0,25,0,1
31254,2024,4401,Dorian Finney-Smith,,PF,30,8,NBA,BRK,3,91,,,6.0,25.0,69.0,0.3,-4.5,3,0,2,2,2,0.0,13,1,0
31255,2024,4237,Doug McDermott,,SF,32,10,NBA,SAS,4,57,,31.0,62.0,7.0,,-15.1,-8.9,0,0,2,0,0,0.0,11,0,1
31256,2024,4085,Draymond Green,,PF,33,12,NBA,GSW,2,42,,,,100.0,,8.1,-4.4,4,0,3,1,1,1.0,34,1,0
31257,2024,4610,Drew Eubanks,,C,26,6,NBA,PHO,4,73,,,,,100.0,14.1,14.5,4,1,7,2,2,0.0,25,0,3
31258,2024,5045,Dru Smith,,SG,26,2,NBA,MIA,3,54,67.0,33.0,,,,-30.9,-31.2,2,0,2,0,0,1.0,19,0,0
31259,2024,4611,Duncan Robinson,,SF,29,6,NBA,MIA,4,97,,11.0,88.0,1.0,,-19.6,-22.2,0,1,5,0,0,0.0,7,0,1
31260,2024,4239,Dwight Powell,,C,32,10,NBA,DAL,2,25,,,,,100.0,5.4,-5.0,0,0,1,0,1,0.0,0,0,0
31261,2024,4829,Dylan Windler,,SF,27,4,NBA,NYK,2,6,,,,100.0,,85.3,85.8,0,0,1,0,0,0.0,3,0,0
31262,2024,5046,Dyson Daniels,,PG,20,2,NBA,NOP,3,65,60.0,40.0,,,,-0.8,6.0,1,0,2,1,2,0.0,14,0,0
31263,2024,4392,Dāvis Bertāns,,PF,31,8,NBA,OKC,1,13,,,,92.0,8.0,24.7,26.0,0,0,1,0,1,0.0,0,0,0
31264,2024,5125,E.J. Liddell,,PF,23,1,NBA,NOP,1,2,,,,100.0,,-142.9,-141.8,0,0,0,0,0,0.0,0,0,0
31265,2024,5126,Emoni Bates,,SF,20,1,NBA,CLE,2,29,,10.0,85.0,6.0,,-43.5,-41.8,1,0,1,0,1,0.0,3,0,0
31266,2024,3815,Eric Gordon,,SG,35,16,NBA,PHO,4,124,14.0,80.0,6.0,,,2.6,-7.1,6,1,2,0,1,1.0,26,1,5
31267,2024,4930,Eugene Omoruyi,,SF,26,3,NBA,WAS,2,20,,,9.0,91.0,,30.0,47.2,1,0,0,0,2,0.0,6,0,0
31268,2024,4931,Evan Mobley,,PF,22,3,NBA,CLE,4,130,,,,,100.0,-13.0,-15.0,1,1,5,2,7,0.0,32,0,8
31269,2024,5127,Filip Petrušev,,C,23,1,NBA,PHI,1,3,,,,57.0,43.0,50.0,39.3,0,0,0,0,0,0.0,0,0,0
31270,2024,4933,Franz Wagner,,SF,22,3,NBA,ORL,4,132,,,78.0,22.0,,8.1,13.8,1,7,4,3,9,2.0,26,1,6
31271,2024,4403,Fred VanVleet,,PG,29,8,NBA,HOU,3,110,100.0,,,,,-11.4,13.9,4,1,1,1,3,2.0,48,1,4
31272,2024,4501,Furkan Korkmaz,,SG,26,7,NBA,PHI,1,3,,100.0,,,,50.0,39.3,0,0,0,0,0,0.0,0,0,0
31273,2024,4717,Gabe Vincent,,PG,27,5,NBA,LAL,4,113,100.0,,,,,2.0,9.6,2,0,4,0,1,2.0,27,0,1
31274,2024,4245,Gary Harris,,SG,29,10,NBA,ORL,4,74,,84.0,16.0,,,10.9,11.4,2,0,0,0,0,0.0,15,0,1
31275,2024,4404,Gary Payton II,,SG,31,8,NBA,GSW,4,79,,82.0,18.0,,,27.2,26.3,0,1,3,1,1,1.0,12,0,2
31276,2024,4618,Gary Trent Jr.,,SG,25,6,NBA,TOR,4,115,17.0,83.0,,,,-9.9,-17.0,1,1,2,0,6,0.0,13,2,4
31277,2024,4405,Georges Niang,,PF,30,8,NBA,CLE,4,84,,,14.0,79.0,7.0,-26.1,-31.3,3,0,5,0,0,0.0,10,0,1
31278,2024,4164,Giannis Antetokounmpo,,PF,29,11,NBA,MIL,3,96,,,,61.0,39.0,-4.6,-6.2,1,4,4,2,15,2.0,21,4,1
31279,2024,4719,Goga Bitadze,,C,24,5,NBA,ORL,3,10,,,,,100.0,54.8,54.0,0,0,0,1,0,0.0,6,0,0
31280,2024,3941,Gordon Hayward,,SF,33,14,NBA,CHO,3,98,,42.0,58.0,,,-3.5,10.1,1,3,2,2,6,0.0,37,2,2
31281,2024,5128,Gradey Dick,,SG,20,1,NBA,TOR,4,57,,53.0,47.0,,,-10.0,-10.4,0,1,7,0,1,0.0,5,0,2
31282,2024,4720,Grant Williams,,PF,25,5,NBA,DAL,3,96,,,,100.0,,10.0,1.7,2,2,4,1,1,3.0,6,1,0
31283,2024,4620,Grayson Allen,,SG,28,6,NBA,PHO,4,123,71.0,29.0,,,,2.8,-6.6,2,3,3,1,2,1.0,28,0,3
31284,2024,5129,Gregory Jackson II,,PF,19,1,NBA,MEM,1,1,,,,100.0,,,,0,0,0,0,0,0.0,0,0,0
31285,2024,4089,Harrison Barnes,,PF,31,12,NBA,SAC,3,102,,,7.0,92.0,2.0,-1.9,-17.1,1,0,1,0,6,0.0,12,3,0
